Timestamp[ms] "A_X [mg]" "A_Y [mg]" "A_Z [mg]" "G_X [mdps]" "G_Y [mdps]" "G_Z [mdps]"
0 -830 181 475 -980 1540 7910
9 -846 147 477 910 2380 13160
19 -855 121 471 4060 1890 14210
28 -874 149 458 9100 1540 10710
38 -871 177 451 11270 1120 4130
48 -839 136 423 9940 630 -3150
57 -827 75 345 13510 2520 -9170
67 -858 199 385 25550 8890 -15960
76 -849 211 379 24850 16100 -22540
86 -864 172 380 19180 22750 -23380
96 -885 178 401 24010 27510 -22190
105 -898 167 419 29610 29330 -20720
115 -901 160 430 33040 28840 -18620
125 -917 214 434 38220 27510 -17150
134 -909 261 455 38850 23730 -15610
144 -911 258 468 32970 17150 -12320
153 -927 264 477 27160 9030 -7630
163 -937 249 476 22890 840 -3360
173 -914 222 457 16520 -5250 -70
182 -891 185 425 8120 -8680 1750
192 -882 141 393 3570 -9450 2660
201 -876 120 370 8610 -8050 2590
211 -879 132 370 19600 -5040 1190
221 -885 161 381 27860 -980 -2240
230 -880 145 403 31080 3080 -6650
240 -884 173 429 35350 7280 -10780
250 -920 193 446 38430 9870 -14560
259 -941 191 449 37170 8330 -17850
269 -937 226 459 35630 4340 -19880
278 -941 240 429 30380 -3080 -20510
288 -933 241 421 23730 -13300 -18340
298 -898 232 419 18690 -21000 -13300
307 -843 224 419 15470 -23940 -7700
317 -815 198 425 15750 -22680 -3010
326 -782 156 421 18760 -18270 -770
336 -783 160 416 26110 -11200 -1330
346 -790 174 422 36190 -4900 -4550
355 -787 162 437 45920 -1330 -8750
365 -784 170 466 56350 1470 -13300
375 -776 196 487 67060 3360 -17220
384 -762 138 491 75740 3220 -20020
394 -705 78 485 83930 2310 -22890
403 -653 44 476 95270 3850 -29820
413 -621 0 466 108990 7070 -40180
423 -634 39 440 125370 12600 -51800
432 -667 51 408 139160 20580 -62370
442 -687 35 352 147280 27650 -71050
451 -698 51 267 154140 33880 -76790
461 -744 87 238 161490 39270 -80290
471 -833 157 218 164850 41860 -82530
480 -893 270 232 163030 41790 -80640
490 -912 372 242 158410 42770 -72520
500 -917 471 182 152460 45500 -58170
509 -942 554 118 140210 50540 -40530
519 -1034 458 107 112630 59850 -25480
528 -1130 252 112 85470 69860 -16450
538 -1160 150 115 79940 75530 -11550
548 -1209 169 103 83160 76300 -11970
557 -1227 293 128 81900 70840 -20300
567 -1220 396 192 73220 62650 -30730
576 -1212 379 244 58450 51800 -36190
586 -1187 318 313 44730 37100 -36960
